Restaurant;Type de restaurant;Catégorie du restaurant;Adresse;Code postal;Commune;Code Insee de la Commune;latitude;longitude;Conctact-téléphone-fixe;Adresse e-Mail;Url du site web;Plateforme/url.;Animal_accepté;Service(s) proposé(s) sur l'équipement;Langue(s) parlée(s) à l'accueil;Horaires d'ouvertures;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
Resturant La Renaissance;Hôtel restaurant;Restaurant gastronomique - cuisine raffinée;2, Avenue de la Libération;72800;LE LUDE;72176;47.6471456;0.1528027;02 43 94 63 10;lelude.renaissance@wanadoo.fr;http://www.renaissancelelude.com/;Facebook||;oui;Banquet,Climatisation,Service en terrasse,WiFi;Anglais,Français;08/11/2023||31/12/2024||||||||||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||||;"Menu adulte du jour (midi en semaine)||16,00||21,00|| ; Menu adulte soir et week-end||35,00||45,00|| ; Menu enfant||10,00||10,00||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.6471456, 0.1528027;Sarthe
RETZ PIZZA;Restaurant;Pizzeria;16 rue Blandeau;44320;SAINT-PERE-EN-RETZ;44187;47.20444;-2.04385;02 51 18 50 54;;https://fr-fr.facebook.com/LE-RETZ-PIZZA-1437409246329279/;;oui;;Tout;01/01/2018||31/12/2018||||||18:30||21:00||||||18:30||21:00||||||||||||||18:30||21:00||||||18:30||22:00||||||18:30||22:00||||||18:00||21:30||||;;Tout;47.20444, -2.04385;Loire-Atlantique
ROZA;Restaurant;Général;3 place de la Monnaie;44100;NANTES;44109;47.2132255;-1.5655622;2 40 54 01 87;reservationroza@hotmail.com;www.restaurantroza.com;;oui;;Tout;;;Tout;47.2132255, -1.5655622;Loire-Atlantique
Salon de Thé ChezEl;Restaurant;Salon de thé;10 Place Saint-Étienne;72140;SILLE-LE-GUILLAUME;72334;48.18425;-0.12864;;chezelsille23@gmail.com;https://www.facebook.com/chezelsille;Facebook||https://www.facebook.com/chezelsille/?paipv=0&eav=AfYSsowWAXjeJM8JeyR4tr_RwmKbkqCifEJcfja3lRQJL1O495te4SGJEw_497_23PI&_rdr ;oui;;Tout;;;Tout;48.18425, -0.12864;Sarthe
Saveurs du Cambodge;Restaurant;Cuisine du Monde;13 rue de la Vendée;49300;CHOLET;49099;47.05655;-0.88841;;;;;oui;;Français;;;Tout;47.05655, -0.88841;Maine-et-Loire
Self-Restaurant Le Bois Joli;Restaurant;Cuisine traditionnelle;Route de Spay;72700;ALLONNES;72003;47.9499315;0.1626819;02 43 39 99 39;esat.boisjoli@adapei72.asso.fr;https://www.adapei72.asso.fr/restauration-alimentation/;;oui;Séminaire,Service en terrasse,WiFi;Anglais,Français,Langue des signes;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.9499315, 0.1626819;Sarthe
SNACK-BAR LA ROTONDE;Restaurant;Brasserie;59 Place Carnot;72600;MAMERS;72180;48.3504305;0.36997465;02 43 97 61 33;paulo.14@orange.fr;;;oui;;Tout;;;Tout;48.3504305, 0.36997465;Sarthe
Sogood;Restaurant;Restauration rapide;Boulevard du Docteur Moutel;44150;ANCENIS-SAINT-GEREON;44003;47.3706885;-1.1772735;02 40 83 16 18;;;;oui;;Tout;;;Tout;47.3706885, -1.1772735;Loire-Atlantique
Street Food;Restaurant;Général;10 rue du Pont Neuf;44160;PONTCHATEAU;44129;47.4358;-2.08864;02 51 76 43 31;;;;oui;;Tout;;;Tout;47.4358, -2.08864;Loire-Atlantique
Subway;Restaurant;Restauration rapide;992 Bd de la Prairie;44150;ANCENIS-SAINT-GEREON;44003;47.3754082;-1.2016907;02 40 96 39 97;;;Instagram||https://www.instagram.com/subwayancenis/;non;Plats à emporter,Service en terrasse,WiFi;Anglais,Français;||||||||10:30||22:30||||||10:30||22:30||||||10:30||22:00||||||10:30||22:30||||||10:30||23:30||||||10:30||23:30||||||10:30||23:00||||;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.3754082, -1.2016907;Loire-Atlantique
SUGAR BLUE;Restaurant;Coffee-shop;4 Rue de l’Arche Sèche;44100;NANTES;44109;47.215232;-1.5582399;09 83 24 19 24;;http://sugarbluecafe.fr/;;oui;;Tout;;;Tout;47.215232, -1.5582399;Loire-Atlantique
Sushi Laval;Restaurant;Cuisine du Monde;7 Rue des 3 Croix;53000;LAVAL;53130;48.069649;-0.765564;02.43.67.30.69;;http://sushilaval.fr/restaurants-livraison-a-domicile-commande-en-ligne-chinois-japonais-pizza-oughour-izicommerce.html;;oui;;Tout;;;Tout;48.069649, -0.765564;Mayenne
THE SEVEN STREET;Restaurant;Restauration rapide;30 Rue Aristide Briand;53100;MAYENNE;53147;48.30335;-0.61973;02 43 11 23 21;;https://the-7th-street.jimdosite.com/;Facebook||https://www.facebook.com/sevenstreet53;oui;Plats à emporter;Tout;19/01/2023||31/01/2024||||||||||||||11:00||14:00||18:00||21:00||11:00||14:00||||||11:00||14:00||18:00||21:00||11:00||14:00||18:00||22:00||11:00||14:00||18:00||22:00||||||18:00||21:00;;Tout;48.30335, -0.61973;Mayenne
Traiteur - JO Traiteur Viande;Général;Cuisine traditionnelle;11 rue des artisans;44521;OUDON;44115;47.3571572;-1.301765;02 40 98 14 25;joel.bazin.traiteur@gmail.com;https://jotraiteurviande.eatbu.com/;Facebook||https://www.facebook.com/profile.php?id=100063718460398;oui;Plats à emporter,Traiteur;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;47.3571572, -1.301765;Loire-Atlantique
Traiteur - Le P'tit CouVair;Général;Restauration rapide;1 Rue de l'Europe;44150;VAIR-SUR-LOIRE;44163;47.3844027;-1.1032039;;;https://le-ptit-couvair.fr/;Facebook||https://www.facebook.com/p/Traiteur-Le-Ptit-CouVair-100085592220590/;oui;;Tout;;;Tout;47.3844027, -1.1032039;Loire-Atlantique
VACARME;Restaurant;Général;5 rue des Bons Français;44100;NANTES;44109;47.2165623;-1.5551365;09 87 34 18 82;damian@vacarme-nantes.com;https://vacarme-nantes.com/;Instagram||https://www.instagram.com/vacarme.nantes/;oui;;Tout;;;Tout;47.2165623, -1.5551365;Loire-Atlantique
Villa Veasna;Restaurant;Cuisine du Monde;10 rue des deux haies;49000;ANGERS;49007;47.47159;-0.55268;02 41 24 44 99;;http://www.villa-veasna.fr;;oui;Service en terrasse;Français;01/01/2023||31/12/2023||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||||||||;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.47159, -0.55268;Maine-et-Loire
YAKELY FOOD EXPRESS;Restaurant;Cuisine du Monde;5 Rue de Couëré;44110;CHATEAUBRIANT;44036;47.7194514;-1.3765694;;dkassi44@yahoo.fr;;;oui;;Tout;||||||Fermé le lundi||||||||||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:00||19:00||23:00;Menu adulte du jour (midi en semaine)||10,00||||;Tout;47.7194514, -1.3765694;Loire-Atlantique
Yakitori;Restaurant;Cuisine du Monde;25 rue des Lices;49100;ANGERS;49007;47.46817;-0.55447;02 41 36 33 45;;http://www.yakitoriangers.fr;Facebook||https://www.facebook.com/Yakitori-Angers-109426271306496;oui;Plats à emporter;Français;"01/01/2021||31/12/2021||||||12:00||14:00||18:00||22:00||12:00||14:00||||||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||18:00||22:00|||||||||||| ; 01/04/2022||30/09/2022||||||18:30||22:00||||||18:30||22:00||||||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||18:30||22:00|||||||||||| ; 01/10/2022||31/12/2022||||||12:00||14:00||18:30||22:00||12:00||14:00||||||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||18:30||22:00|||||||||||| ; 01/01/2023||31/12/2023||||||18:30||22:00||||||18:30||22:00||||||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||18:30||22:00|||||||||||| ; 01/01/2024||31/12/2024||||||18:30||22:00||||||18:30||22:00||||||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||18:30||22:00||||||||||||";;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.46817, -0.55447;Maine-et-Loire
Yamma Cafétaria;Restaurant;Cuisine du Monde;124 Place de la Victoire;44370;LOIREAUXENCE;44213;47.3849131;-1.0284373;09 75 97 01 18;contact@yamma.fr;https://yamma.fr/;Facebook||https://www.facebook.com/profile.php?id=100075870015820;oui;Service en terrasse;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.3849131, -1.0284373;Loire-Atlantique
Ô TOUR D’UNE PIZZA;Restaurant;Pizzeria;7 rue de Bretagne;44117;SAINT-ANDRE-DES-EAUX;44151;47.3137433;-2.3118983;02 40 01 59 38;;;Facebook||https://www.facebook.com/%C3%94-tour-dune-Pizza-111675880635409/?ref=page_internal;oui;Plats à emporter;Tout;01/01/2024||31/12/2024||Ouvert du lundi au dimanche||Ouvert 7j/7||||||18:00||21:30||11:30||14:00||18:00||21:30||11:30||14:00||18:00||21:30||11:30||14:00||18:00||21:30||11:30||14:00||18:00||22:00||11:30||14:00||18:00||22:00||||||18:00||21:30;Menu enfant||8,50||||;Tout;47.3137433, -2.3118983;Loire-Atlantique
45 PM;Restaurant;Restauration rapide;45 Corniche de Port-Meleu;44770;PREFAILLES;44136;47.12524;-2.20354;02 40 21 62 91;camping.leportmeleu@gmail.com;http://www.meleucamp.com;;oui;Banquet,Plats à emporter,WiFi;Tout;;;Cartes bancaires,Espèces;47.12524, -2.20354;Loire-Atlantique
A TABLE NATURELLEMENT;Restaurant;Cuisine traditionnelle;15 rue Louis Blanc;44200;NANTES;44109;47.2064285;-1.55473;02 28 44 38 23;;https://www.atable-naturellement.fr/;;oui;Climatisation,Plats à emporter,Traiteur;Allemand,Anglais;;;Cartes bancaires,Espèces,Tickets Restaurant;47.2064285, -1.55473;Loire-Atlantique
A TAVOLA Restaurant;Restaurant;Pizzeria;26 avenue de la Monneraye;44410;HERBIGNAC;44072;47.44912;-2.31318;02 40 22 27 38;pizzeriaatavola@orange.fr;http://www.restaurant-pizza-emporter-atavola-herbignac.com/;;oui;;Tout;;;Tout;47.44912, -2.31318;Loire-Atlantique
Absolument Thé;Restaurant;Salon de thé;4 Boulevard Hennecart;44500;LA BAULE-ESCOUBLAC;44055;47.28197;-2.39352;02 40 22 17 29;;;;oui;Service en terrasse;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.28197, -2.39352;Loire-Atlantique
ASIYA;Restaurant;Cuisine du Monde;48 avenue du général de gaulle;44600;SAINT-NAZAIRE;44184;47.2742488;-2.2122156;09 81 61 65 71;;https://restaurantasiya.eatbu.com/;Facebook||https://www.facebook.com/ASIYA-1894020050919527/?ref=py_c;oui;Plats à emporter,Traiteur;Anglais,Français;01/01/2024||31/12/2024||Ouvert jeudi, vendredi, samedi et dimanche soir||Fermé lundi, mardi, mercredi et dimanche midi||||||||||||||||||||||||||12:00||14:00||18:00||21:00||12:00||14:00||18:00||21:00||12:00||14:00||18:00||21:00||||||18:00||21:00;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2742488, -2.2122156;Loire-Atlantique
ASSYA TRAITEUR;Restaurant;Cuisine du Monde;29 Route des Fréchets;44600;SAINT-NAZAIRE;44184;47.26357;-2.2419;;assyatraiteur@gmail.com;https://couscous-assya.com/#/commande-en-ligne/bons-plans/nos-produits;Facebook||https://www.facebook.com/pg/Assya-Traiteur-350710891790523/about/?ref=page_internal ;oui;Plats à emporter;Tout;01/01/2024||31/12/2024||Ouvert du mardi au samedi||Fermé le dimanche et lundi||||||||||10:00||13:30||16:00||19:00||10:00||13:30||16:00||19:00||10:00||13:30||16:00||19:00||10:00||13:30||16:00||19:00||10:00||13:30||16:00||19:00||||||||;;Tout;47.26357, -2.2419;Loire-Atlantique
Atlantic pizza;Restaurant;Pizzeria;3 Avenue Henri Bertho;44500;LA BAULE-ESCOUBLAC;44055;47.2954367;-2.3612464;02 40 19 33 33;;http://www.atlantic-pizza.fr/;;oui;;Tout;;"Menu enfant||7,90|||| ; Menu adulte du jour (midi en semaine)||19,90||||";Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.2954367, -2.3612464;Loire-Atlantique
Au bureau;Restaurant;Brasserie;1 Allée du Vieux Saint-Louis;53000;LAVAL;53130;48.07144;-0.77347;02 72 89 04 21;laval@aubureau.fr;https://restaurants.aubureau.fr/au-bureau-laval-713a8e89f9b8;Facebook||https://www.facebook.com/aubureaulaval ;oui;;Tout;||||||||10:00||00:00||||||10:00||00:00||||||10:00||00:00||||||10:00||00:00||||||10:00||01:00||||||10:00||01:00||||||10:00||00:00||||;;Tout;48.07144, -0.77347;Mayenne
Au Cadre Noir;Général;Coffee-shop;66 rue d'Orléans;49400;SAUMUR;49328;47.258405;-0.080236;02 41 51 27 53;navarro.sebastien@hotmail.com;;Facebook||https://www.facebook.com/P%C3%A2tisserie-Au-cadre-noir-670882686416057/;oui;;Français;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires;47.258405, -0.080236;Maine-et-Loire
Au Cul du Camion - Food truck;Restaurant;Général;4 Rue de la Lande;44350;GUERANDE;44069;47.32334;-2.40239;07 81 85 99 15;auculducamion44@yahoo.com;https://au-cul-du-camion.jimdosite.com/;;oui;;Tout;;;Tout;47.32334, -2.40239;Loire-Atlantique
Au fil de l'eau;Restaurant;Cuisine traditionnelle;12 Avenue Alexandre Braud;44540;VALLONS-DE-L'ERDRE;44180;47.5207681;-1.1842475;02 40 97 00 50;aufildeleaustmarslajaille44540@yahoo.com;;Instagram||https://www.instagram.com/aufildeleauvallons44540/ ;oui;Service en terrasse;Tout;||||||||06:45||19:00||||||06:45||19:00||||||06:45||19:00||||||06:45||19:00||||||06:45||19:00||||||08:00||15:00||||||||||||;;Cartes bancaires,Espèces,Tickets Restaurant;47.5207681, -1.1842475;Loire-Atlantique
Auberge de l'Écluse;Restaurant;Restaurant gastronomique - cuisine raffinée;275 La Provostière;44440;RIAILLE;44144;47.5246273;-1.3468408;02 40 97 86 54;guillaume.cruaud@orange.fr;http://auberge-de-l-ecluse-44440.zenchef.com/;Facebook||https://www.facebook.com/AubergeDeLEcluse;oui;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;Anglais,Français;||||Préférence pour les réservations !||||12:00||14:00||||||12:00||14:00||||||||||||||12:00||14:00||19:30||21:00||12:00||14:00||19:30||21:00||12:00||14:00||19:30||21:00||12:00||14:00||||;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.5246273, -1.3468408;Loire-Atlantique
AUBERGE DES MARAIS;Restaurant;Cuisine traditionnelle;80 avenue Jean Burel;44460;SAINT-NICOLAS-DE-REDON;44185;47.6480906;-2.0832438;02 99 71 16 88;aubergedesmarais@orange.fr;www.aubergedesmarais.fr;Facebook||www.facebook.com/aubergedesmarais;oui;Banquet;Anglais,Français;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.6480906, -2.0832438;Loire-Atlantique
Auberge du Port des Roches;Hôtel restaurant;Restaurant gastronomique - cuisine raffinée;Le Port des Roches;72800;LUCHE-PRINGE;72175;47.700331;0.09783;02 43 45 44 48;leportdesroches@orange.fr;https://www.logishotels.com/fr/hotel/auberge-du-port-des-roches-3032;;oui;Service en terrasse,WiFi;Anglais;01/01/2024||31/12/2024||||||||||||||||||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||||;"Menu adulte du jour (midi en semaine)||42,00||64,00|| ; Menu enfant||16,00||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.700331, 0.09783;Sarthe
AUX DÉLICES DU TERROIR;Restaurant;Cuisine traditionnelle;20 rue Saint Aubin;49320;BRISSAC LOIRE AUBANCE;49050;47.39834;-0.31697;02 41 54 23 59;jeanpaul.coulonnier@orange.fr;;Facebook||https://www.facebook.com/audeliceduterroir49250/;oui;;Français;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.39834, -0.31697;Maine-et-Loire
Bao Kitchen;Restaurant;Cuisine du Monde;17, Rue Beaurepaire;;ANGERS;49007;47.473877;-0.559598;02 41 05 12 28;baokitchen@restaurant-sens.com;https://restaurant-sens.com/index.php/bao-kitchen/;Facebook||https://www.facebook.com/BaoKitchen.Angers ;oui;Plats à emporter;Anglais,Espagnol,Français;"01/11/2023||31/12/2023||||||11:45||14:00||||||11:45||14:00||18:45||22:00||11:45||14:00||18:45||22:00||11:45||14:00||18:45||22:00||11:45||14:00||18:45||22:00||18:45||22:00|||||||||||| ; 01/01/2024||31/12/2024||||||11:45||14:00||||||11:45||14:00||18:45||22:00||11:45||14:00||18:45||22:00||11:45||14:00||18:45||22:00||11:45||14:00||18:45||22:00||18:45||22:00||||||||||||";"Plats à la carte||4,50|||| ; Menu adulte soir et week-end||12,00||||";Cartes bancaires,Espèces;47.473877, -0.559598;Maine-et-Loire
Bar Brasserie La Ville;Restaurant;Brasserie;2 rue Foullon;49700;DOUE-EN-ANJOU;49125;47.194287;-0.276842;02 41 59 18 34;cafedelavilledoue@outlook.fr;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g608799-d4954806-Reviews-Brasserie_de_la_ville-Doue_la_Fontaine_Maine_et_Loire_Pays_de_la_Loire.html;oui;;Français;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires;47.194287, -0.276842;Maine-et-Loire
Bar Pub le Skipper;Restaurant;Général;Place de l'Hôtel;44420;MESQUER;44097;47.3994;-2.46082;02 40 42 54 39;mathieuaudoire@gmail.com;http://le.skipper.mesquer.free.fr;;oui;Service en terrasse;Tout;;;Tout;47.3994, -2.46082;Loire-Atlantique
BAR RESTAURANT CHEZ NELLY;Restaurant;Restauration rapide;5 rue PRINCIPALE;53250;LE HAM;53112;48.3798487;-0.3784072;02 43 03 97 06;;;;oui;;Tout;;;Tout;48.3798487, -0.3784072;Mayenne
BAR RESTAURANT LA GUINGUETTE DU BAC;Restaurant;Guinguette;rue du port;53200;MENIL;53150;47.7748769;-0.6732672;02 43 70 21 27;laguinguettedubac.menil@gmail.com;;Instagram||https://www.instagram.com/la_guinguette_du_bac/ ;oui;;Français;27/03/2024||||||||10:00||14:30||||||||||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||22:00||||;;Cartes bancaires,Chèques bancaires et postaux;47.7748769, -0.6732672;Mayenne
BAR RESTAURANT LE FOIRAIL;Restaurant;Cuisine traditionnelle;Route de Vitré;44110;CHATEAUBRIANT;44036;47.7392394;-1.3619282;;iacobaurelie@yahoo.fr;https://fr-fr.facebook.com/restofoirail;;oui;;Tout;||||||||08:00||16:00||||||08:00||16:00||||||08:00||16:00||||||08:00||16:00||||||08:00||16:00||||||||||||||||||||;Menu adulte du jour (midi en semaine)||14,50||16,50||;Tout;47.7392394, -1.3619282;Loire-Atlantique
BAR RESTAURANT PIZZERIA GRILL LA CELLA;Restaurant;Cuisine traditionnelle;23 Rue du Temple;53160;JUBLAINS;53122;48.2569602;-0.4978098;02 43 04 30 36;;;;oui;Banquet,Plats à emporter,Séminaire;Anglais,Français;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;48.2569602, -0.4978098;Mayenne
Bar à Crêpes - O'Rozell;Restaurant;Crêperie;Port de Plaisance;44380;PORNICHET;44132;47.25858;-2.34598;02 40 11 94  76;aquajetpornichet@gmail.com;https://basenautique.glissevolution.com/bar-a-crepes/;;oui;;Anglais,Espagnol;01/05/2021||30/09/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires,Espèces;47.25858, -2.34598;Loire-Atlantique
BAR À FROMAGES - FROMAGERIE ROUET;Restaurant;Bistrot / bar à vin;7 bis Place Georges Clemenceau;49320;BRISSAC LOIRE AUBANCE;49050;47.3550925;-0.4488304;09 82 50 59 14;fromageriebrissac@gmail.com;https://www.fromagerie-cremerie-rouet.fr/;Facebook||https://www.facebook.com/fromageriecremerierouet/;oui;Banquet,Bon cadeau,Chaise haute / Réhausseur,Plats à emporter,Service en terrasse;Allemand,Anglais,Français,Italien;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.3550925, -0.4488304;Maine-et-Loire
Bar éphémère - Lign'Estival;Restaurant;Guinguette;Place de la Perretterrie;44850;LIGNE;44082;47.4118055;-1.3758102;;communication@ligne.fr;;Facebook||https://www.facebook.com/LIGNE.44850;oui;Plats à emporter;Français;;;Cartes bancaires,Espèces;47.4118055, -1.3758102;Loire-Atlantique
BAR-RESTAURANT  LE LION D'OR;Restaurant;Cuisine traditionnelle;5 place de l'église;53160;BAIS;53016;48.2510054;-0.3638668;02 43 37 90 05;;;;oui;Banquet,Séminaire,Service en terrasse;Français;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;48.2510054, -0.3638668;Mayenne
BAR-RHUMERIE MAÏNA;Général;Bistrot / bar à vin;101 quai de bliesransbach;44240;SUCE-SUR-ERDRE;44201;47.3392073;-1.527109;02 40 77 94 36;;;Instagram||https://www.instagram.com/mainabarcreperie/?fbclid=IwAR2AiunBXzNizkGziYEd5IBD91HTd7Zp4iD4CvHknh81izoSyeGDRdsiLfg ;oui;Banquet,Service en terrasse;Anglais,Espagnol,Français;"01/01/2024||31/12/2024||fermé le mardi et mercredi||||||||15:00||20:00||||||||||||||15:00||23:45||||||15:00||23:45||||||15:00||23:45||10:00||||||23:45||10:00||||||20:00 ; ||||||||||||||||||||||||||||||||||||15:00||23:45||||||15:00||23:45||10:00||||||23:45||10:00||||||20:00";;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.3392073, -1.527109;Loire-Atlantique
BARAPOM;Restaurant;Crêperie;14 place du Commando;44600;SAINT-NAZAIRE;44184;47.2717635;-2.2045077;02 28 54 75 09;barapom.commando@gmail.com;https://www.barapom.com/;;oui;Plats à emporter,Service en terrasse;Tout;01/01/2024||31/12/2024||Ouvert du mercredi au lundi||Fermé le mardi||11:00||14:30||16:00||20:00||||||||||11:00||14:30||16:00||20:00||11:00||14:30||16:00||20:00||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00;Plats à la carte||2,00||7,00||;Tout;47.2717635, -2.2045077;Loire-Atlantique
Bateau restaurant L'Amarante;Restaurant;Cuisine traditionnelle;Quai Philippe de Commines;49730;MONTSOREAU;49219;47.216598;0.059904;02 47 95 80 85;info@bateauamarante.com;https://www.bateauamarante.com;Facebook||https://www.facebook.com/Amarante.bateau.loire.restaurant ;oui;;Français;01/04/2024||31/10/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Menu adulte du jour (midi en semaine)||59,00||||La croisière + menu sans les boissons;Cartes bancaires;47.216598, 0.059904;Maine-et-Loire
Beaux Buns;Restaurant;Restauration rapide;26 Rue des Ponts Neufs;72000;LE MANS;72181;48.006884;0.197665;02 43 51 21 60;contact@beaux-buns.com;https://www.beaux-buns.com/;Facebook||https://www.facebook.com/beauxbuns/;oui;;Tout;;;Tout;48.006884, 0.197665;Sarthe
BIGA;Restaurant;Grill - Rôtisserie;20 Boulevard de l'Atlantique;44510;LE POULIGUEN;44135;47.27432;-2.43984;09 71 51 95 42;;;;oui;;Tout;01/01/2024||31/12/2024||||||||||||||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||11:00||14:00||||;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.27432, -2.43984;Loire-Atlantique
Bistrot 88;Restaurant;Bistrot / bar à vin;88 Rue de la Matte;44600;SAINT-NAZAIRE;44184;47.28517;-2.21173;;88bistrot@gmail.com;;Instagram||https://www.instagram.com/bistrot88_/;oui;Plats à emporter,Service en terrasse,WiFi;Anglais,Français;04/07/2024||31/12/2024||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||||||||||||||||||;;Cartes bancaires,Espèces;47.28517, -2.21173;Loire-Atlantique
Bistrot Aux Brèves de Comptoir;Restaurant;Cuisine traditionnelle;49 rue Saint Jean;49400;SAUMUR;49328;47.260132;-0.077425;06 78 93 31 79;auxbrevesdecomptoir@gmail.com;http://auxbrevesdecomptoir.fr;Facebook||https://www.facebook.com/fredoo49 ;oui;Plats à emporter,Service en terrasse;Français;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Tickets Restaurant;47.260132, -0.077425;Maine-et-Loire
Bistrot Bar Les Dames Barrau;Restaurant;Cuisine traditionnelle;9 avenue des Cadets de Saumur;49350;GENNES-VAL-DE-LOIRE;49261;47.342772;-0.231855;02 41 50 58 44;bistrot@lesdamesbarrau.fr;http://www.lesdamesbarrau.fr/;Facebook||https://www.facebook.com/lesdamesbarrau/ ;oui;Chaise haute / Réhausseur,Climatisation,Service en terrasse;Anglais,Français;"01/11/2023||30/04/2024||Pour connaitre le détail, contacter l'établissement.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/05/2024||31/10/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";"Plats à la carte||5,00||23,00|| ; Menu enfant||8,90||8,90||Un plat enfant et une boule de glace ; Menu adulte du jour (midi en semaine)||14,00||14,00||Le midi en semaine : entrée + plat + dessert.";Cartes bancaires,Tickets Restaurant;47.342772, -0.231855;Maine-et-Loire
BISTROT DE SAINT SAT';Restaurant;Bistrot / bar à vin;2 place de l'église;49320;BRISSAC LOIRE AUBANCE;49050;47.3939193;-0.4366726;02 41 57 48 97;christophe.duchene49@orange.fr;;;oui;Service en terrasse,WiFi;Anglais,Français;;;Cartes bancaires,Chèques bancaires et postaux;47.3939193, -0.4366726;Maine-et-Loire
BISTROT LE 1006;Restaurant;Cuisine traditionnelle;7 espace Chambretault;49610;LES GARENNES SUR LOIRE;49167;47.403297;-0.4811052;09 86 30 13 50;;;;non;Chaise haute / Réhausseur,Climatisation,Plats à emporter,Service en terrasse,WiFi;Anglais,Français;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.403297, -0.4811052;Maine-et-Loire
Blue Factory;Restaurant;Brasserie;25 rue des Châtaigniers;44690;CHATEAU-THEBAUD;44037;47.0992322;-1.4484399;;staff@blue-factory-food.fr;https://www.blue-factory-food.fr/;;oui;;Tout;||||||||||||||||||||||||11:45||14:45||||||11:45||14:45||||||11:45||14:45||18:45||21:00||11:45||14:45||18:45||21:00||||||||;;Tout;47.0992322, -1.4484399;Loire-Atlantique
